iter	MultiClass
0	1.607478177
1	1.380249338
2	1.231049089
3	1.129732732
4	1.028696549
5	0.9580425893
6	0.8902347212
7	0.8367431191
8	0.7897687336
9	0.7356830761
10	0.7018806247
11	0.6652633838
12	0.636112297
13	0.6054169679
14	0.574782874
15	0.5552288792
16	0.533351974
17	0.5120536476
18	0.4958785961
19	0.4820392815
20	0.4683840411
21	0.4569692321
22	0.4427133654
23	0.4271934894
24	0.4151535886
25	0.4041386432
26	0.3931413269
27	0.3820281301
28	0.372890259
29	0.3658822963
30	0.3564145121
31	0.3477783167
32	0.3410808718
33	0.3322247362
34	0.3255810893
35	0.3195371409
36	0.3108521628
37	0.3043028166
38	0.2996544815
39	0.2936329611
40	0.2873548627
41	0.2819427225
42	0.2763897152
43	0.2718740534
44	0.2657107094
45	0.2606168178
46	0.2553860885
47	0.2513531258
48	0.2465759401
49	0.241982671
50	0.2382124682
51	0.233448527
52	0.2289355595
53	0.2258116182
54	0.222043318
55	0.2188200813
56	0.2148258956
57	0.2114697016
58	0.2082695218
59	0.2050437129
60	0.2021198596
61	0.1986524099
62	0.1956111721
63	0.1923835193
64	0.1900128623
65	0.1870051349
66	0.1839040701
67	0.1815069458
68	0.1787890868
69	0.1762177274
70	0.1739468587
71	0.1705963375
72	0.168659683
73	0.1668408248
74	0.1649407282
75	0.1629799179
76	0.1604375566
77	0.1578741998
78	0.1551786661
79	0.153550895
80	0.1516169046
81	0.1503530702
82	0.1482552916
83	0.1461538624
84	0.1442824111
85	0.1428956594
86	0.1402077214
87	0.1386026784
88	0.1375601412
89	0.1356407123
90	0.1337937749
91	0.1322275359
92	0.1310642015
93	0.1297128091
94	0.1284306768
95	0.1270224236
96	0.1257965973
97	0.1248688621
98	0.1238004177
99	0.1211994697
100	0.1196421022
101	0.1188745904
102	0.1170705722
103	0.116234519
104	0.1151329637
105	0.1140777834
106	0.1126421786
107	0.1112852753
108	0.1104073883
109	0.1094261252
110	0.1078531715
111	0.1068206454
112	0.1058776399
113	0.1048499853
114	0.1040642742
115	0.1032013345
116	0.1024739394
117	0.1011995709
118	0.1001898898
119	0.09951418868
120	0.09848881871
121	0.09714690901
122	0.09645437606
123	0.09539792614
124	0.09454392223
125	0.09372416795
126	0.09298567104
127	0.09234874476
128	0.09172505988
129	0.09117814129
130	0.09073710418
131	0.08995291725
132	0.08952764913
133	0.0885811844
134	0.08805763525
135	0.08712069458
136	0.08605998417
137	0.08520690274
138	0.08491302412
139	0.08445621706
140	0.08328547124
141	0.08254853874
142	0.08164209409
143	0.08112473207
144	0.08026443111
145	0.07965195688
146	0.07898320472
147	0.07848234748
148	0.07783536599
149	0.07738008647
150	0.07696621403
151	0.07643678119
152	0.07592212936
153	0.07518399502
154	0.07456979586
155	0.0738115525
156	0.07335103479
157	0.07294034498
158	0.07234691608
159	0.07172209993
160	0.07100007724
161	0.07044584472
162	0.07012221214
163	0.06969649027
164	0.06920749534
165	0.06851932116
166	0.06805840913
167	0.06739985485
168	0.06706796405
169	0.06678066005
170	0.06636407332
171	0.06605612006
172	0.06556392067
173	0.06515761788
174	0.06458972161
175	0.06415696554
176	0.06372332958
177	0.06325694015
178	0.06284322152
179	0.06247100619
180	0.06205950049
181	0.06139823241
182	0.06100729508
183	0.06062229377
184	0.06009259455
185	0.05981952824
186	0.05947458927
187	0.05920625574
188	0.05882364741
189	0.05848308042
190	0.05796023195
191	0.05735022109
192	0.05689027607
193	0.05653389167
194	0.05587122969
195	0.05545064723
196	0.05522462229
197	0.05483219492
198	0.05434505364
199	0.05412377449
200	0.05374901012
201	0.0533058113
202	0.05298133374
203	0.05273838586
204	0.0522817798
205	0.05179141057
206	0.05142795081
207	0.05111021317
208	0.05069551373
209	0.05035394098
210	0.05009427201
211	0.04986510337
212	0.04963188902
213	0.04935809056
214	0.04921496386
215	0.04895108101
216	0.04876818936
217	0.04847517447
218	0.04815327582
219	0.04793718361
220	0.0478052434
221	0.04757133387
222	0.04731638133
223	0.04714384587
224	0.04685859069
225	0.04671257934
226	0.04645569503
227	0.04617018603
228	0.04585636126
229	0.04552617625
230	0.04531643455
231	0.04489099072
232	0.04459440459
233	0.04435828578
234	0.04417035316
235	0.04400019076
236	0.04367108892
237	0.04346369647
238	0.04305325718
239	0.04283475638
240	0.04257302135
241	0.04224726594
242	0.041919681
243	0.04163074506
244	0.04147674801
245	0.04115571291
246	0.04091338682
247	0.04062730373
248	0.04045999583
249	0.04022667863
250	0.04000164073
251	0.03983766401
252	0.03956882186
253	0.03924268373
254	0.03909073205
255	0.03898642173
256	0.03874513995
257	0.03860180865
258	0.03839989298
259	0.03804894292
260	0.03792773737
261	0.03772982098
262	0.03760981195
263	0.0374624856
264	0.03723023351
265	0.03710292471
266	0.03700030072
267	0.03680707213
268	0.036641262
269	0.03639941851
